age,attend,authoritarianism,black,born,childs,colath,colrac,colcom,colmil,colhomo,colmslm,con_govt,degree,egalit_scale,evangelical,grass,happy,hispanic_2,homosex,income06,marital,mode,news,owngun,partyid_3,polviews,pornlaw2,pray,pres08,reborn_r,relig,science_quiz,sex,sibs,social_connect,social_cons3,south,spend3,teensex,tolerance,tvhours,vetyears,wordsum,zodiac
42,Once/yr,5,No,YES,2,ALLOWED,ALLOWED,FIRED,ALLOWED,ALLOWED,"Yes, allowed",1,<HS,35,High,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,12,Never married,IN-PERSON,NEVER,NO,Ind,Conserv,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,NONE,4,Male,5,9,Liberal,South,Mod,ALWAYS WRONG,10,3,NONE,6,AQUARIUS
23,>Once/wk,3,No,YES,0,ALLOWED,NOT ALLOWED,FIRED,ALLOWED,ALLOWED,Not allowed,2,HS,10,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,15,Married,IN-PERSON,ONCE A WEEK,YES,Ind,Conserv,Illegal to all,SEVERAL TIMES A DAY,McCain,Yes,PROTESTANT,3,Female,2,4,Mod,South,Mod,ALWAYS WRONG,10,1,NONE,7,SAGITTARIUS
49,Every wk,3,No,NO,2,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,<HS,7,High,NOT LEGAL,PRETTY HAPPY,Yes,ALWAYS WRONG,16,Married,IN-PERSON,LESS THAN ONCE WK,NO,Dem,Moderate,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,6,Female,8,6,Liberal,South,Conserv,ALWAYS WRONG,8,6,NONE,4,GEMINI
50,>Once/wk,3,No,YES,0,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",1,HS,9,High,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,21,Never married,OVER THE PHONE,EVERYDAY,NO,Rep,ExtrmCons,Illegal to all,SEVERAL TIMES A DAY,McCain,Yes,PROTESTANT,5,Female,1,8,Conserv,South,Conserv,ALWAYS WRONG,6,3,NONE,7,CANCER
45,Never,0,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",1,Bachelor deg,29,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,11,Never married,IN-PERSON,LESS THAN ONCE WK,NO,Dem,ExtrmLib,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,NONE,6,Female,2,6,Liberal,South,Liberal,NOT WRONG AT ALL,12,0,NONE,7,PISCES
77,Every wk,4,No,YES,1,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,1,<HS,35,High,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,10,Widowed,IN-PERSON,FEW TIMES A WEEK,NO,Dem,Moderate,Illegal to all,SEVERAL TIMES A DAY,McCain,Yes,PROTESTANT,5,Female,3,4,Conserv,South,Conserv,ALWAYS WRONG,3,2,NONE,7,LEO
34,Every wk,1,No,YES,0,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,Graduate deg,1,High,LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,13,Married,IN-PERSON,FEW TIMES A WEEK,REFUSED,Rep,Moderate,Not illegal to all,SEVERAL TIMES A DAY,McCain,Yes,PROTESTANT,4,Female,0,5,Mod,South,Liberal,ALWAYS WRONG,12,3,NONE,6,ARIES
32,Never,4,No,YES,1,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,1,HS,10,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,21,Married,IN-PERSON,FEW TIMES A WEEK,YES,Rep,Conserv,Illegal to all,ONCE A DAY,McCain,Yes,PROTESTANT,4,Female,1,6,Conserv,South,Mod,ALWAYS WRONG,6,4,NONE,7,CAPRICORN
56,Never,2,No,YES,3,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",1,Junior Coll,18,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,21,Separated,IN-PERSON,NEVER,NO,Ind,Moderate,Not illegal to all,ONCE A WEEK,Obama,No,CATHOLIC,9,Male,4,5,Liberal,Nonsouth,Liberal,ALMST ALWAYS WRG,14,5,2 TO 4 YEARS,8,CAPRICORN
43,Never,0,No,YES,1,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,HS,1,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,19,Married,OVER THE PHONE,NEVER,YES,Ind,Moderate,Not illegal to all,NEVER,Obama,No,NONE,7,Male,1,6,Liberal,Nonsouth,Liberal,ALWAYS WRONG,14,3,NONE,6,AQUARIUS
20,Never,2,Yes,YES,0,NOT ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,<HS,29,Low,LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,21,Never married,OVER THE PHONE,ONCE A WEEK,NO,Dem,Liberal,Not illegal to all,NEVER,Obama,No,PROTESTANT,7,Male,1,5,Liberal,Nonsouth,Conserv,ALWAYS WRONG,9,5,NONE,0,SAGITTARIUS
30,Never,0,No,YES,1,ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,<HS,26,Low,LEGAL,NOT TOO HAPPY,Yes,NOT WRONG AT ALL,1,Never married,IN-PERSON,NEVER,NO,Ind,SlghtCons,Not illegal to all,NEVER,Obama,No,NONE,9,Male,4,8,Liberal,Nonsouth,Mod,SOMETIMES WRONG,12,3,NONE,4,CAPRICORN
57,Never,4,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,2,HS,9,Low,NOT LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,21,Never married,IN-PERSON,EVERYDAY,YES,Ind,SlghtCons,Not illegal to all,NEVER,Obama,No,NONE,9,Male,2,2,Mod,Nonsouth,Conserv,ALWAYS WRONG,13,4,NONE,6,CANCER
24,Once/yr,1,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,Bachelor deg,9,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,11,Never married,IN-PERSON,EVERYDAY,YES,Rep,SlghtCons,Illegal to all,LT ONCE A WEEK,McCain,No,CATHOLIC,9,Male,1,7,Conserv,Nonsouth,Mod,SOMETIMES WRONG,13,2,NONE,8,SCORPIO
57,<Once/yr,4,No,NO,2,ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,HS,19,Mod,NOT LEGAL,PRETTY HAPPY,Yes,ALWAYS WRONG,18,Divorced,IN-PERSON,LESS THAN ONCE WK,NO,Dem,Moderate,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,CATHOLIC,6,Female,5,5,Mod,Nonsouth,Conserv,ALWAYS WRONG,10,1,NONE,8,TAURUS
22,Never,1,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",4,HS,24,Low,NOT LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,18,Never married,OVER THE PHONE,LESS THAN ONCE WK,NO,Dem,Liberal,Not illegal to all,NEVER,Obama,No,NONE,7,Female,2,6,Liberal,Nonsouth,Liberal,SOMETIMES WRONG,13,2,NONE,7,LEO
50,Nrly evry wk,6,No,YES,0,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,HS,22,Low,NOT LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,6,Never married,IN-PERSON,EVERYDAY,NO,Ind,Moderate,Illegal to all,ONCE A WEEK,Obama,No,PROTESTANT,5,Male,5,6,Conserv,Nonsouth,Mod,ALWAYS WRONG,10,9,NONE,4,CAPRICORN
71,>Once/wk,5,No,YES,2,ALLOWED,NOT ALLOWED,FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,HS,29,Low,NOT LEGAL,NOT TOO HAPPY,No,ALWAYS WRONG,10,Widowed,IN-PERSON,NEVER,NO,Ind,Moderate,Illegal to all,SEVERAL TIMES A DAY,Obama,No,CATHOLIC,6,Female,2,4,Conserv,Nonsouth,Liberal,ALWAYS WRONG,14,7,NONE,8,CANCER
84,Never,2,No,YES,8,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,2,<HS,20,Low,LEGAL,NOT TOO HAPPY,No,SOMETIMES WRONG,9,Widowed,IN-PERSON,FEW TIMES A WEEK,NO,Ind,Conserv,Not illegal to all,ONCE A DAY,Obama,No,CATHOLIC,4,Female,0,0,Liberal,Nonsouth,Conserv,ALWAYS WRONG,6,7,NONE,0,SAGITTARIUS
55,Sev times/yr,3,No,YES,2,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,HS,34,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,12,Married,OVER THE PHONE,EVERYDAY,NO,Dem,Moderate,Not illegal to all,ONCE A DAY,Obama,No,CATHOLIC,6,Female,3,11,Liberal,Nonsouth,Liberal,ALWAYS WRONG,10,4,NONE,6,ARIES
21,Once/yr,1,No,YES,0,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,HS,21,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,25,Never married,OVER THE PHONE,LESS THAN ONCE WK,NO,Ind,SlghtCons,Not illegal to all,ONCE A WEEK,Obama,No,CATHOLIC,7,Female,3,4,Liberal,Nonsouth,Conserv,NOT WRONG AT ALL,8,3,NONE,3,SAGITTARIUS
